,title,price,link
0,"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","15,399",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4BZMQG/ref=sr_1_106?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.K6UQKGaldS5UkrXDaAUBZIgP-Srt7IuJuTeJZoUzVkjiuYvbX9xaeog-rs8kul3kXgd4ih8jT9wSUQYpoeX8igTEzN9bxfZsNaH9SsCE5tRPOu-_-TsXp_LZhX2crxAUKYRFQX_bOF-wGKZg39WnSsqj4e1f8bb2u-AheoW4joTYvmfChl7B2DmN63LaYBz828k9TpF7v59OKLcQknojbvcJ-Que9b9LBRk4MdwGVxg.YMqNe7nlvfMjclaAXrA9H9U4ZoymN3L7c95EYviHwAg&dib_tag=se&keywords=laptop&qid=1725790988&sprefix=lapt%2Caps%2C403&sr=8-106
1,"(Refurbished) Lenovo ThinkPad A475, AMD A12Pro, 16GB RAM, 512GB SSD  ","16,489",https://amazon.in//Lenovo-Refurbished-ThinkPad-A475-A12Pro/dp/B0CSP6XGJT/ref=sr_1_282?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.90CQQhVPQvAYI9jKI1poAnjxtL5yrHty73wFuiBzJ59XETxfcEREtGTzHlUpZ74KUdIw6l7cmZYKosoUo2IQ5AwcYJa1y25-JxL6DtfIjtQfokISBFKbiIrzWafUeNkoEUGxdtDPnJBFd8Mb6murzTTFXz6Gc65W_R4YCOtaxATkzlnNYUiC8qiEsII6OVkfK8PB8JDyGlcSxkbXw8LAAX0ADhqmIrRLerHnKMuO1h4.xWxKfy_q80edeIXYhPLfnMPjXMbx2qi5syNj7i4RrNI&dib_tag=se&keywords=laptop&qid=1722953472&sprefix=lapt%2Caps%2C403&sr=8-282
2,"HP OMEN Gaming Laptop, 13th Gen Intel Core i9-13900HX, 8GB RTX 4060 GPU, 16.1-inch (40.9 cm), FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB, B&O (MSO, Black, 2.38 kg), wf0148TX  ","1,58,990",https://amazon.in//HP-i9-13900HX-16-1-inch-Backlit-wf0148TX/dp/B0D2DDJ1PN/ref=sr_1_301?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.XtBGdxVRPSztlojdUWGoXDUOqGyxH68FdN1yxuYkqJgLD7NdFGKotDnizLqPyJZZP4aRjxCCbDJ9jDiUa65z73Zfeo2tFQHJrZDturIkbx3a1CcQpooGR08SI1f34JncpB4odc2a0seIGXSICPBVqvm7mfliKKctxcCyfRZQ4V724SLIMaDP7ve1Fc9qCzwPenabAzyqrAG9IPBeq5v9viJSc2Zoe2MMlEJZmhxWVjg.Fdcbq6TOiEXo4UDa8vN8d572DomVWBZtxWghSjjqHpM&dib_tag=se&keywords=laptop&qid=1725791128&sprefix=lapt%2Caps%2C403&sr=8-301
3,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,B&O,9ms Response time(Blue, 2.29 kg),fa1373TX/fa1227TX  ","60,990",https://amazon.in//HP-i5-12450H-15-6-inch-Response-fa1373TX/dp/B0D2DDJ6PJ/ref=sr_1_130?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.GeIc5KKZudlFS8eUoOR0RyUhXann5WEujGaLtUQjNozM4VW5BGv-9-HCmbAcoJZyJG91W55iK1RSxaYfk437xO2_iEgC1BT9Ouc5OkG1V4ryPCxeSiyb6V4R1ysxJaR2qsipwJgACggaaAghDou_u76lf41wmqayKgAYDSmTKQpLiz-LbGtTJ_0c9wh_4tAWIRF8dembhl1H5mX2WDrbZ5wnAmnVuKSHmP9nffQt2I0.lzrVbYeSBVBADp-V7hfq5z-mT338WUnLLECXXsK4ygE&dib_tag=se&keywords=laptop&qid=1725790996&sprefix=lapt%2Caps%2C403&sr=8-130
4,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU  ","53,990",https://amazon.in//HP-i5-1235U-15-6-inch-Graphics-fy5009TU/dp/B0D4M66F6R/ref=sr_1_68?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.eveZs74pPqbkdoZXtyvRRbZDYCBO4WlWMpaUC8DcK2zBIIwvzQSGXiSVo8WVzCgKSAr6U0TuHQI4YVjNcb4cWo-KC4Iurzywg5ifGXJ7vMKFkj7krb87RMHwzVCjUPybIXLNWRFgK3qyuWJ2aw97WYdUYtEP8U22rULi_rWkDbLcRT35MsuqUp5627Mz5zJ5TDP59eW4NikPty6Yge_h2vM_sw4iLcr3bKOky6FcHYI.8_F17hHKgi9X_fK9wc0VW0lEeBBYbkLGsRgJi8mFIoY&dib_tag=se&keywords=laptop&qid=1725790958&sprefix=lapt%2Caps%2C403&sr=8-68
5,"(Refurbished) Lenovo ThinkPad P50 Intel Core i7-6820HQ Quad Core Processor Nvidia M1000M 4GB Graphic Laptop (32 GB DDR4 RAM/1 TB SSD/15.6"" (39.62 cm) FHD (1080p)/Windows 10/WiFi/Bluetooth/Webcam)  ","41,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTA1NDU4Nzc5NDQwODEwOjE3MjU3OTEwMDY6c3BfbXRmOjMwMDI2MDgxODgzODAzMjo6MDo6&url=%2FRefurbished-Lenovo-i7-6820HQ-Processor-Bluetooth%2Fdp%2FB0D9KNWX35%2Fref%3Dsr_1_139_sspa%3Fcrid%3D31O7TOIT00HGT%26dib%3DeyJ2IjoiMSJ9.kYffEl63eDqJ2e5FpMw63o3hr6MRwY8DvlEy0yabZHvdX4w2DFSg29mdLGlS3sS_8BKEbQ13uDkTYeYmL5FCEJXPm69Zx2Kl1hECPiANZr5S_x8zk2mUksuOTkMLnZ1quGQTyxd5vKJvBmj7TmvOqkaTdY-k3zhzsUJ5W-ypsBFQTuDL_8ntgD9rZ2uVRihH6a-fjDnMSRtG7Ofluxa317Ii8PpXMYu4A5LOcxYFAgc.6Qw9GQXn8eoXRYBEkwwwuI-S2ndNhn4HloD41CjGgv0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725791006%26sprefix%3Dlapt%252Caps%252C403%26sr%3D8-139-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
6,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","43,990",https://amazon.in//Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTW4D7T/ref=sr_1_262?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.0JGBPCd9_6fgTmzKWwYol8y0xnDwCeHBY4u8IXaGPS8FzFB5zuBmmFT63kiwG3dOQKleTp72bEPggJEuURtODDjYOTXRxIfFJka9FAmOjEENqIiG38rMY17klClam-2MvVvMGfDIVQB0r8rj1vtnFAFG7D_sfVYk1o7BUmFmOaBHIBS6PpRxfbQvEOXu0SJWck3pIStFwWrQo8ej3lYHVo_RREol9iyd2qiXkN--ED4.CMBDlZaUTeUiua3nXcdcvRT_SZcpNZKONn-F8MF0P10&dib_tag=se&keywords=laptop&qid=1725791101&sprefix=lapt%2Caps%2C403&sr=8-262
7,(Refurbished) Dell Latitude E5440 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14 (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel HD Graphics)  ,"12,999",https://amazon.in//Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D98JFNPY/ref=sr_1_97?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.rGdf6sz14b0Hyak-3BsVaQ_2Wvk6zKUkiJyA7V0QDvw3YPrn7-bDaI164aXo2KvQY6ibpt5N3Zi830zCdboaYTGRQY-XhgChAhlb9uTgVYQ9oMREkKx5LVc1pDRsGmQEub38bMoxyodvLK7vx_7BFZZ_aJYiUdwHyGQkAa4It_4ZPSFF9PGA5k6HBEgs7fUWT49uAcX5BQRJquxfR9WZlZM1s8m1IN1v1gKDlxRTsI8.VYtTiEALtF0jrRwUvmKd4n6omCMYf7P7QH6_L0KueeM&dib_tag=se&keywords=laptop&qid=1725790979&sprefix=lapt%2Caps%2C403&sr=8-97
8,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue  ","18,990",https://amazon.in//Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRNQBCR/ref=sr_1_293?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.SrRjLPUol0oY3CJN18ZrL8ds9aW0bxQlKXWX8SA8W-wcXddaIy2OfV9t75Hjos05hv1I0dg8jol11IATte7nEKRvj3hR8QDeu2YqbkZ76W3Sl5AXsAbPb07M6T-hrLxL1VmWY9Pt0T8FhvF3DO0F5O6LhvgMNC9L8JRGHeA_lHnnaKEuPlBJWQ13Skj272Pbc5p8V-l9DE-FbR0oa-XAF6ODjD73ilzzdda4XsPGCHQ.O2_kWiGG9ILnCd3epYhpn0w8AAF3Ol_Fyfgt_B14iAI&dib_tag=se&keywords=laptop&qid=1722953521&sprefix=lapt%2Caps%2C403&sr=8-293
9,"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim  ","21,189",https://amazon.in//Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4BN7B6/ref=sr_1_39?crid=31O7TOIT00HGT&dib=eyJ2IjoiMSJ9.pgwxnnn8oKaiukHbglrzfQfympBGeyZIPayBy8xYokrXDkfYXrpGn5PUW4zjYrCbKE8REGp0VEV0qWUnnH78oV3qyhZL1K_YAssahhSr5FQKNyof-u7r1li1bIuQ5YVzsx-_Fp-OyaZIyq04nTKT8qC1oZiVSfQyQtDMEvHYWwrlPhNqGkuxkuQbC9IMto4NwB1TJCLQacmRyAMFhrFBgFn0NXMLDfNaCT8wF_3vRWM.iU-InOZHqbTybnOASXvwBT-rpwa5dwReZWXXUAD6GU0&dib_tag=se&keywords=laptop&qid=1725790945&sprefix=lapt%2Caps%2C403&sr=8-39
